sat_id,x0_m,y0_m,vx0_ms,vy0_ms,euler_class,euler_energy,euler_final_x_m,euler_final_y_m,rk4_class,rk4_energy,rk4_final_x_m,rk4_final_y_m
40,7506064.935,0.000,0.000,5000.000,3,-4.061754e+07,5548859.908,3325682.277,3,-4.060378e+07,5546461.292,3329366.068
41,7529441.558,0.000,0.000,5000.000,3,-4.045275e+07,5525063.950,3367642.638,3,-4.043891e+07,5522651.321,3371299.221
42,7552818.182,0.000,0.000,5000.000,3,-4.028901e+07,5495437.306,3412759.528,3,-4.027506e+07,5493008.636,3416385.183
43,7576194.805,0.000,0.000,5000.000,3,-4.012625e+07,5471075.567,3454168.809,3,-4.011222e+07,5468633.979,3457767.315
44,7599571.429,0.000,0.000,5000.000,3,-3.996452e+07,5440796.165,3498657.530,3,-3.995038e+07,5438339.720,3502225.141
45,7622948.052,0.000,0.000,5000.000,3,-3.980375e+07,5415906.605,3539518.052,3,-3.978954e+07,5413438.316,3543058.608
46,7646324.675,0.000,0.000,5000.000,3,-3.964399e+07,5385015.113,3583380.386,3,-3.962968e+07,5382533.128,3586890.118
47,7669701.299,0.000,0.000,5000.000,3,-3.948517e+07,5359634.760,3623695.204,3,-3.947079e+07,5357141.985,3627178.009
48,7693077.922,0.000,0.000,5000.000,3,-3.932735e+07,5328170.902,3666933.730,3,-3.931287e+07,5331542.123,3667213.224
49,7716454.545,0.000,0.000,5000.000,3,-3.917044e+07,5302335.872,3706706.612,3,-3.915590e+07,5299820.783,3710131.930
50,7739831.169,0.000,0.000,5000.000,3,-3.901449e+07,5276308.589,3746229.032,3,-3.899989e+07,5273784.226,3749627.679
51,7763207.792,0.000,0.000,5000.000,3,-3.885950e+07,5244083.959,3788560.096,3,-3.884481e+07,5241548.683,3791928.259
52,7786584.416,0.000,0.000,5000.000,3,-3.870544e+07,5211590.853,3830561.838,3,-3.869067e+07,5215110.191,3830889.359
53,7809961.039,0.000,0.000,5000.000,3,-3.855227e+07,5184951.243,3869264.914,3,-3.853744e+07,5182397.863,3872576.316
54,7833337.662,0.000,0.000,5000.000,3,-3.840004e+07,5151999.445,3910655.183,3,-3.838513e+07,5149436.796,3913936.390
55,7856714.286,0.000,0.000,5000.000,3,-3.824868e+07,5125008.175,3948831.725,3,-3.823373e+07,5122438.730,3952086.821
56,7880090.909,0.000,0.000,5000.000,3,-3.809825e+07,5091633.787,3989616.103,3,-3.808323e+07,5089056.121,3992841.243
57,7903467.532,0.000,0.000,5000.000,3,-3.794868e+07,5064323.455,4027272.547,3,-3.793362e+07,5061739.935,4030471.850
58,7926844.156,0.000,0.000,5000.000,3,-3.780002e+07,5030561.696,4067457.320,3,-3.778488e+07,5027970.982,4070626.936
59,7950220.779,0.000,0.000,5000.000,3,-3.765223e+07,4996597.031,4107322.515,3,-3.763703e+07,4993999.652,4110462.583
60,7973597.403,0.000,0.000,5000.000,3,-3.750527e+07,4968849.263,4144192.857,3,-3.749004e+07,4966247.420,4147307.546
61,7996974.026,0.000,0.000,5000.000,3,-3.735920e+07,4934549.195,4183469.045,3,-3.734391e+07,4931941.677,4186554.498
62,8020350.649,0.000,0.000,5000.000,3,-3.721398e+07,4900072.888,4222431.169,3,-3.719863e+07,4897460.205,4225487.547
63,8043727.273,0.000,0.000,5000.000,3,-3.706957e+07,4871958.425,4258533.148,3,-3.705420e+07,4869342.616,4261564.663
64,8067103.896,0.000,0.000,5000.000,3,-3.692603e+07,4837196.716,4296918.387,3,-3.691060e+07,4834576.694,4299921.180
