step,sat_id,class,x_m,y_m,r_km
144,0,3,6475109.259,716482.159,6514.629
145,0,3,6473770.296,721408.045,6513.842
146,0,3,6472421.996,726332.891,6513.049
147,0,3,6471064.359,731256.688,6512.251
148,0,3,6469697.382,736179.430,6511.447
149,0,3,6468321.064,741101.109,6510.638
150,0,3,6466935.403,746021.718,6509.823
151,0,3,6465540.399,750941.249,6509.003
152,0,3,6464136.049,755859.694,6508.178
153,0,3,6462722.352,760777.047,6507.347
154,0,3,6461299.307,765693.299,6506.510
155,0,3,6459866.912,770608.443,6505.668
156,0,3,6458425.165,775522.472,6504.821
157,0,3,6456974.065,780435.377,6503.968
158,0,3,6455513.610,785347.151,6503.109
159,0,3,6454043.799,790257.788,6502.245
160,0,3,6452564.630,795167.278,6501.375
161,0,3,6451076.102,800075.616,6500.500
162,0,3,6449578.212,804982.792,6499.620
163,0,3,6448070.959,809888.799,6498.734
164,0,3,6446554.343,814793.631,6497.842
165,0,3,6445028.360,819697.278,6496.945
166,0,3,6443493.009,824599.735,6496.042
167,0,3,6441948.289,829500.992,6495.134
168,0,3,6440394.197,834401.042,6494.221
169,0,3,6438830.733,839299.878,6493.302
170,0,3,6437257.895,844197.493,6492.377
171,0,3,6435675.680,849093.877,6491.447
172,0,3,6434084.087,853989.025,6490.511
173,0,3,6432483.115,858882.927,6489.570
174,0,3,6430872.761,863775.577,6488.623
175,0,3,6429253.024,868666.966,6487.671
176,0,3,6427623.902,873557.087,6486.713
177,0,3,6425985.393,878445.933,6485.750
178,0,3,6424337.496,883333.495,6484.781
179,0,3,6422680.209,888219.766,6483.807
180,0,3,6421013.529,893104.738,6482.827
181,0,3,6419337.455,897988.404,6481.842
182,0,3,6417651.986,902870.755,6480.851
183,0,3,6415957.119,907751.784,6479.855
184,0,3,6414252.853,912631.484,6478.853
185,0,3,6412539.185,917509.845,6477.846
186,0,3,6410816.114,922386.861,6476.833
187,0,3,6409083.638,927262.524,6475.814
188,0,3,6407341.755,932136.826,6474.790
189,0,3,6405590.463,937009.759,6473.761
190,0,3,6403829.760,941881.316,6472.726
191,0,3,6402059.644,946751.488,6471.685
0,1,3,6594376.623,0.000,6594.377
1,1,3,6594372.040,4999.999,6594.374
2,1,3,6594358.291,9999.991,6594.366
3,1,3,6594335.375,14999.969,6594.352
4,1,3,6594303.294,19999.926,6594.334
5,1,3,6594262.045,24999.855,6594.309
6,1,3,6594211.631,29999.750,6594.280
7,1,3,6594152.050,34999.603,6594.245
8,1,3,6594083.303,39999.407,6594.205
9,1,3,6594005.389,44999.156,6594.159
10,1,3,6593918.308,49998.842,6594.108
11,1,3,6593822.061,54998.458,6594.051
12,1,3,6593716.647,59997.998,6593.990
13,1,3,6593602.066,64997.455,6593.922
14,1,3,6593478.318,69996.821,6593.850
15,1,3,6593345.403,74996.090,6593.772
16,1,3,6593203.321,79995.255,6593.689
17,1,3,6593052.071,84994.309,6593.600
18,1,3,6592891.653,89993.244,6593.506
19,1,3,6592722.068,94992.054,6593.406
20,1,3,6592543.315,99990.732,6593.302
21,1,3,6592355.393,104989.271,6593.191
22,1,3,6592158.304,109987.664,6593.076
23,1,3,6591952.045,114985.904,6592.955
24,1,3,6591736.618,119983.984,6592.829
25,1,3,6591512.022,124981.898,6592.697
26,1,3,6591278.257,129979.637,6592.560
27,1,3,6591035.322,134977.195,6592.417
28,1,3,6590783.217,139974.566,6592.269
29,1,3,6590521.943,144971.742,6592.116
30,1,3,6590251.498,149968.717,6591.958
31,1,3,6589971.882,154965.482,6591.794
32,1,3,6589683.096,159962.032,6591.624
33,1,3,6589385.138,164958.359,6591.450
34,1,3,6589078.009,169954.457,6591.269
35,1,3,6588761.709,174950.318,6591.084
36,1,3,6588436.236,179945.936,6590.893
37,1,3,6588101.590,184941.303,6590.697
38,1,3,6587757.772,189936.412,6590.495
39,1,3,6587404.780,194931.257,6590.288
40,1,3,6587042.615,199925.831,6590.076
41,1,3,6586671.276,204920.126,6589.858
42,1,3,6586290.763,209914.136,6589.635
43,1,3,6585901.075,214907.853,6589.407
44,1,3,6585502.211,219901.271,6589.173
45,1,3,6585094.172,224894.383,6588.933
46,1,3,6584676.957,229887.181,6588.689
47,1,3,6584250.566,234879.659,6588.439
48,1,3,6583814.998,239871.809,6588.183
49,1,3,6583370.252,244863.625,6587.922
50,1,3,6582916.328,249855.100,6587.656
51,1,3,6582453.226,254846.226,6587.385
52,1,3,6581980.946,259836.997,6587.108
53,1,3,6581499.486,264827.406,6586.825
54,1,3,6581008.846,269817.445,6586.538
55,1,3,6580509.026,274807.108,6586.245
56,1,3,6580000.025,279796.387,6585.946
57,1,3,6579481.842,284785.276,6585.642
58,1,3,6578954.478,289773.768,6585.333
59,1,3,6578417.931,294761.855,6585.018
60,1,3,6577872.201,299749.531,6584.698
61,1,3,6577317.287,304736.788,6584.373
62,1,3,6576753.189,309723.620,6584.042
63,1,3,6576179.907,314710.019,6583.706
64,1,3,6575597.439,319695.978,6583.364
65,1,3,6575005.784,324681.491,6583.017
66,1,3,6574404.943,329666.551,6582.665
67,1,3,6573794.915,334651.149,6582.307
68,1,3,6573175.699,339635.280,6581.944
69,1,3,6572547.294,344618.936,6581.576
70,1,3,6571909.700,349602.110,6581.202
71,1,3,6571262.916,354584.796,6580.823
72,1,3,6570606.941,359566.985,6580.438
73,1,3,6569941.775,364548.672,6580.048
74,1,3,6569267.417,369529.848,6579.652
75,1,3,6568583.866,374510.507,6579.252
76,1,3,6567891.122,379490.642,6578.845
77,1,3,6567189.183,384470.246,6578.434
78,1,3,6566478.050,389449.312,6578.017
79,1,3,6565757.720,394427.832,6577.594
80,1,3,6565028.195,399405.800,6577.167
81,1,3,6564289.472,404383.208,6576.733
82,1,3,6563541.551,409360.050,6576.295
83,1,3,6562784.431,414336.318,6575.851
84,1,3,6562018.111,419312.005,6575.401
85,1,3,6561242.592,424287.104,6574.947
86,1,3,6560457.870,429261.608,6574.487
87,1,3,6559663.947,434235.510,6574.021
88,1,3,6558860.821,439208.803,6573.550
89,1,3,6558048.491,444181.479,6573.074
90,1,3,6557226.956,449153.532,6572.592
91,1,3,6556396.216,454124.955,6572.105
92,1,3,6555556.270,459095.739,6571.612
93,1,3,6554707.116,464065.879,6571.114
94,1,3,6553848.754,469035.368,6570.611
95,1,3,6552981.183,474004.197,6570.102
96,1,3,6552104.402,478972.359,6569.588
97,1,3,6551218.410,483939.849,6569.068
98,1,3,6550323.206,488906.658,6568.544
99,1,3,6549418.789,493872.779,6568.013
100,1,3,6548505.159,498838.206,6567.477
101,1,3,6547582.314,503802.930,6566.936
102,1,3,6546650.252,508766.946,6566.390
103,1,3,6545708.975,513730.245,6565.838
104,1,3,6544758.479,518692.821,6565.280
105,1,3,6543798.765,523654.666,6564.718
106,1,3,6542829.831,528615.774,6564.149
107,1,3,6541851.676,533576.136,6563.576
108,1,3,6540864.299,538535.746,6562.997
109,1,3,6539867.700,543494.597,6562.412
110,1,3,6538861.877,548452.682,6561.823
111,1,3,6537846.828,553409.992,6561.227
112,1,3,6536822.554,558366.522,6560.627
113,1,3,6535789.052,563322.263,6560.021
114,1,3,6534746.322,568277.209,6559.409
115,1,3,6533694.363,573231.353,6558.792
116,1,3,6532633.173,578184.687,6558.170
117,1,3,6531562.751,583137.203,6557.542
118,1,3,6530483.097,588088.895,6556.909
119,1,3,6529394.209,593039.756,6556.271
120,1,3,6528296.086,597989.778,6555.627
121,1,3,6527188.726,602938.954,6554.977
122,1,3,6526072.129,607887.277,6554.323
123,1,3,6524946.294,612834.739,6553.662
124,1,3,6523811.219,617781.333,6552.997
125,1,3,6522666.903,622727.052,6552.326
126,1,3,6521513.344,627671.889,6551.649
127,1,3,6520350.542,632615.836,6550.967
128,1,3,6519178.495,637558.886,6550.280
129,1,3,6517997.203,642501.032,6549.587
130,1,3,6516806.663,647442.267,6548.889
131,1,3,6515606.875,652382.582,6548.186
132,1,3,6514397.837,657321.972,6547.477
133,1,3,6513179.548,662260.428,6546.762
134,1,3,6511952.007,667197.943,6546.042
135,1,3,6510715.212,672134.510,6545.317
136,1,3,6509469.162,677070.122,6544.587
137,1,3,6508213.855,682004.771,6543.850
138,1,3,6506949.292,686938.450,6543.109
139,1,3,6505675.469,691871.151,6542.362
140,1,3,6504392.386,696802.867,6541.609
141,1,3,6503100.041,701733.592,6540.852
142,1,3,6501798.433,706663.316,6540.088
143,1,3,6500487.561,711592.034,6539.320
144,1,3,6499167.422,716519.738,6538.546
145,1,3,6497838.017,721446.420,6537.766
146,1,3,6496499.342,726372.072,6536.981
147,1,3,6495151.398,731296.689,6536.191
148,1,3,6493794.182,736220.261,6535.395
149,1,3,6492427.693,741142.782,6534.593
150,1,3,6491051.930,746064.244,6533.787
151,1,3,6489666.891,750984.640,6532.974
152,1,3,6488272.574,755903.963,6532.157
153,1,3,6486868.978,760822.205,6531.334
154,1,3,6485456.102,765739.358,6530.505
155,1,3,6484033.944,770655.415,6529.671
156,1,3,6482602.502,775570.369,6528.832
157,1,3,6481161.776,780484.211,6527.987
158,1,3,6479711.763,785396.936,6527.137
159,1,3,6478252.462,790308.535,6526.281
160,1,3,6476783.871,795219.000,6525.420
161,1,3,6475305.990,800128.325,6524.553
162,1,3,6473818.815,805036.502,6523.681
163,1,3,6472322.346,809943.522,6522.803
164,1,3,6470816.581,814849.380,6521.920
165,1,3,6469301.518,819754.066,6521.032
166,1,3,6467777.157,824657.575,6520.138
167,1,3,6466243.494,829559.897,6519.239
168,1,3,6464700.529,834461.026,6518.334
169,1,3,6463148.259,839360.954,6517.424
170,1,3,6461586.684,844259.673,6516.508
171,1,3,6460015.802,849157.177,6515.587
172,1,3,6458435.610,854053.457,6514.660
173,1,3,6456846.107,858948.505,6513.728
174,1,3,6455247.292,863842.314,6512.791
175,1,3,6453639.163,868734.878,6511.848
176,1,3,6452021.717,873626.187,6510.899
177,1,3,6450394.954,878516.234,6509.945
178,1,3,6448758.872,883405.012,6508.986
179,1,3,6447113.468,888292.514,6508.021
180,1,3,6445458.741,893178.730,6507.051
181,1,3,6443794.689,898063.655,6506.075
182,1,3,6442121.311,902947.280,6505.093
183,1,3,6440438.604,907829.597,6504.107
184,1,3,6438746.567,912710.599,6503.114
185,1,3,6437045.198,917590.278,6502.117
186,1,3,6435334.495,922468.627,6501.114
